Animal ID,Datetime_of_Intake,MonthYear_of_Intake,Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Name,Datetime_of_Outcome,MonthYear_of_Outcome,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Length_of_Stay
A662735,2013-12-06 18:02:00,12/6/2013 18:02,Austin (TX),Owner Surrender,Normal,Neutered Male,10 months,*Linux,2013-11-01 19:08:00,11/1/2013 19:08,1/8/2013,Adoption,,Dog,Neutered Male,9 months,Border Collie/Labrador Retriever,Black/White,-35 days +01:06:00.000000000
A662880,2019-05-03 15:52:00,5/3/2019 15:52,Austin (TX),Owner Surrender,Normal,Neutered Male,5 years,*Dennis,2013-10-06 14:18:00,10/6/2013 14:18,7/19/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,-2036 days +22:26:00.000000000
A662921,2019-01-20 16:27:00,1/20/2019 16:27,Austin (TX),Public Assist,Normal,Neutered Male,5 years,Oliver,2013-10-08 11:44:00,10/8/2013 11:44,7/20/2013,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue Tabby,-1931 days +19:17:00.000000000
A663004,2013-10-04 14:11:00,10/4/2013 14:11,2201 Willow Creek Dr in Austin (TX),Owner Surrender,Normal,Spayed Female,8 months,*Allie,2013-10-02 18:58:00,10/2/2013 18:58,1/14/2013,Adoption,,Dog,Spayed Female,8 months,Bulldog/Australian Cattle Dog,Black/White,-2 days +04:47:00.000000000
A663134,2013-12-02 11:39:00,12/2/2013 11:39,Austin (TX),Owner Surrender,Normal,Neutered Male,1 year,Lobo,2013-11-02 17:40:00,11/2/2013 17:40,9/13/2012,Adoption,,Dog,Neutered Male,1 year,Queensland Heeler Mix,Blue Merle,-30 days +06:01:00.000000000
A663408,2014-03-31 17:46:00,3/31/2014 17:46,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,*Trixie,2013-11-10 23:49:00,11/10/2013 23:49,1/18/2013,Adoption,,Dog,Spayed Female,9 months,Australian Cattle Dog Mix,Tricolor,-141 days +06:03:00.000000000
A663410,2014-02-01 15:44:00,2/1/2014 15:44,14516 Amy Francis in Travis (TX),Stray,Normal,Neutered Male,2 years,Chico,2013-10-04 18:54:00,10/4/2013 18:54,10/18/2011,Return to Owner,,Dog,Neutered Male,1 year,American Staffordshire Terrier Mix,Brown/White,-120 days +03:10:00.000000000
A663411,2014-02-01 15:44:00,2/1/2014 15:44,14516 Amy Francis in Travis (TX),Stray,Normal,Spayed Female,1 year,Daisy,2013-10-04 18:57:00,10/4/2013 18:57,3/18/2012,Return to Owner,,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Tricolor,-120 days +03:13:00.000000000
A663436,2017-10-14 14:14:00,10/14/2017 14:14,Austin (TX),Stray,Normal,Spayed Female,6 years,*Daria,2013-10-31 11:46:00,10/31/2013 11:46,9/18/2011,Adoption,,Dog,Spayed Female,2 years,Australian Kelpie,Chocolate,-1445 days +21:32:00.000000000
A663436,2017-11-02 11:00:00,11/2/2017 11:00,Austin (TX),Owner Surrender,Normal,Spayed Female,6 years,*Daria,2017-10-20 10:35:00,10/20/2017 10:35,9/18/2011,Return to Owner,,Dog,Spayed Female,6 years,Australian Kelpie,Chocolate,-14 days +23:35:00.000000000
A663438,2014-04-05 15:15:00,4/5/2014 15:15,Austin (TX),Owner Surrender,Normal,Spayed Female,7 years,Bonny,2013-11-23 16:16:00,11/23/2013 16:16,9/18/2006,Adoption,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Sable,-133 days +01:01:00.000000000
A663495,2014-10-07 12:58:00,10/7/2014 12:58,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,Pikachu,2013-10-01 12:45:00,10/1/2013 12:45,5/19/2013,Return to Owner,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Torbie,-372 days +23:47:00.000000000
A663510,2015-07-09 12:43:00,7/9/2015 12:43,Austin (TX),Public Assist,Normal,Neutered Male,3 years,Tiger,2013-10-02 12:04:00,10/2/2013 12:04,4/19/2012,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle,-646 days +23:21:00.000000000
A663527,2017-08-30 11:24:00,8/30/2017 11:24,12109 Shetland Chase in Austin (TX),Stray,Injured,Spayed Female,8 years,Taboo,2013-10-10 16:58:00,10/10/2013 16:58,9/20/2008,Transfer,SCRP,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Tortie,-1420 days +05:34:00.000000000
A663550,2013-10-22 13:36:00,10/22/2013 13:36,Austin (TX),Owner Surrender,Normal,Neutered Male,3 months,Gus,2013-10-13 17:43:00,10/13/2013 17:43,7/11/2013,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Cream Tabby,-9 days +04:07:00.000000000
A663553,2015-02-04 17:54:00,2/4/2015 17:54,Austin (TX),Owner Surrender,Normal,Neutered Male,1 year,Teddy,2013-11-30 17:07:00,11/30/2013 17:07,6/20/2013,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby/White,-432 days +23:13:00.000000000
A663562,2013-12-11 18:55:00,12/11/2013 18:55,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,*Heidi,2013-12-02 16:31:00,12/2/2013 16:31,9/20/2012,Return to Owner,,Dog,Spayed Female,1 year,Rhod Ridgeback Mix,Brown/White,-10 days +21:36:00.000000000
A663572,2013-10-06 11:00:00,10/6/2013 11:00,Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,3 years,*Starla,2013-10-01 11:42:00,10/1/2013 11:42,9/21/2010,Adoption,,Dog,Spayed Female,3 years,Anatol Shepherd Mix,White/Brown,-5 days +00:42:00.000000000
A663602,2019-07-09 11:24:00,7/9/2019 11:24,3501 South First Street in Austin (TX),Stray,Normal,Spayed Female,7 years,Molly,2013-10-27 14:44:00,10/27/2013 14:44,9/21/2011,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,-2081 days +03:20:00.000000000
A663619,2014-01-09 15:02:00,1/9/2014 15:02,11501 Pollyanna in Austin (TX),Stray,Normal,Spayed Female,6 months,*Cinder,2013-10-03 15:19:00,10/3/2013 15:19,6/21/2013,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,-98 days +00:17:00.000000000
A663648,2013-12-24 11:19:00,12/24/2013 11:19,Westgate And Slaughter in Austin (TX),Stray,Normal,Neutered Male,1 year,Huck,2013-12-01 16:09:00,12/1/2013 16:09,9/22/2012,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,-23 days +04:50:00.000000000
A663667,2013-10-12 17:17:00,10/12/2013 17:17,Austin (TX),Owner Surrender,Normal,Neutered Male,2 years,*Cody,2013-10-05 17:05:00,10/5/2013 17:05,9/22/2011,Adoption,,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,White/Brown,-8 days +23:48:00.000000000
A663684,2014-10-24 11:20:00,10/24/2014 11:20,6607 S Ih 35 in Austin (TX),Stray,Normal,Neutered Male,6 years,Asher,2013-10-04 18:11:00,10/4/2013 18:11,10/24/2008,Return to Owner,,Dog,Neutered Male,4 years,Siberian Husky Mix,White/Tan,-385 days +06:51:00.000000000
A663684,2014-11-10 11:24:00,11/10/2014 11:24,Austin (TX),Owner Surrender,Normal,Neutered Male,6 years,Asher,2014-11-09 19:43:00,11/9/2014 19:43,10/24/2008,Adoption,,Dog,Neutered Male,6 years,Siberian Husky Mix,White/Tan,-1 days +08:19:00.000000000
A663692,2013-11-26 11:40:00,11/26/2013 11:40,Austin (TX),Owner Surrender,Normal,Neutered Male,6 years,Austin,2013-10-03 11:08:00,10/3/2013 11:08,9/22/2007,Return to Owner,,Dog,Neutered Male,6 years,Plott Hound Mix,Brown Brindle/White,-55 days +23:28:00.000000000
A663722,2013-10-09 12:11:00,10/9/2013 12:11,Austin (TX),Owner Surrender,Normal,Neutered Male,2 months,Jj,2013-10-06 18:24:00,10/6/2013 18:24,7/16/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,-3 days +06:13:00.000000000
A663723,2013-10-09 12:11:00,10/9/2013 12:11,Austin (TX),Owner Surrender,Normal,Neutered Male,2 months,Tornado,2013-10-06 18:24:00,10/6/2013 18:24,7/16/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,-3 days +06:13:00.000000000
A663798,2013-12-09 14:12:00,12/9/2013 14:12,Austin (TX),Owner Surrender,Normal,Spayed Female,6 years,Laika,2013-10-27 15:32:00,10/27/2013 15:32,9/24/2007,Adoption,,Dog,Spayed Female,6 years,Labrador Retriever Mix,Yellow,-43 days +01:20:00.000000000
A663868,2016-02-06 11:10:00,2/6/2016 11:10,10911 Maha Loop in Austin (TX),Stray,Normal,Neutered Male,3 years,*Capers,2013-10-13 17:04:00,10/13/2013 17:04,1/25/2013,Adoption,,Dog,Neutered Male,8 months,Pit Bull/Australian Cattle Dog,White/Brown,-846 days +05:54:00.000000000
A663889,2013-10-16 16:29:00,10/16/2013 16:29,E Oltorf St/Burleson Rd in Austin (TX),Stray,Normal,Neutered Male,2 years,Bejon,2013-10-02 13:16:00,10/2/2013 13:16,9/25/2011,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Beauceron,Black/Tan,-15 days +20:47:00.000000000
A663901,2013-12-28 12:21:00,12/28/2013 12:21,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,Pandora,2013-12-27 15:43:00,12/27/2013 15:43,9/25/2012,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,-1 days +03:22:00.000000000
A663928,2013-11-21 13:35:00,11/21/2013 13:35,Austin (TX),Owner Surrender,Normal,Neutered Male,4 years,Vince,2013-10-06 13:19:00,10/6/2013 13:19,9/26/2009,Return to Owner,,Dog,Neutered Male,4 years,Australian Cattle Dog/Akita,Red/White,-47 days +23:44:00.000000000
A663932,2015-04-13 16:28:00,4/13/2015 16:28,7116 Windrift Way in Austin (TX),Stray,Normal,Neutered Male,2 years,Sebastian,2013-10-08 18:33:00,10/8/2013 18:33,9/26/2012,Return to Owner,,Dog,Neutered Male,1 year,Harrier Mix,Brown/White,-552 days +02:05:00.000000000
A663956,2013-11-26 14:38:00,11/26/2013 14:38,Austin (TX),Owner Surrender,Normal,Spayed Female,4 years,Haven,2013-10-02 18:06:00,10/2/2013 18:06,9/27/2009,Adoption,,Dog,Spayed Female,4 years,Australian Shepherd Mix,Tricolor,-55 days +03:28:00.000000000
A663964,2017-01-13 11:09:00,1/13/2017 11:09,Austin (TX),Public Assist,Normal,Neutered Male,3 years,Mr. Jones,2013-12-12 15:52:00,12/12/2013 15:52,9/6/2013,Adoption,Foster,Dog,Neutered Male,3 months,Boxer Mix,Tan/White,-1128 days +04:43:00.000000000
A663964,2018-05-07 13:30:00,5/7/2018 13:30,Austin (TX),Owner Surrender,Normal,Neutered Male,4 years,Mr. Jones,2017-01-24 16:47:00,1/24/2017 16:47,9/6/2013,Return to Owner,,Dog,Neutered Male,3 years,Boxer Mix,Tan/White,-468 days +03:17:00.000000000
A663997,2013-11-15 11:21:00,11/15/2013 11:21,Austin (TX),Owner Surrender,Normal,Neutered Male,2 years,Arthur,2013-11-10 18:04:00,11/10/2013 18:04,9/27/2011,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,-5 days +06:43:00.000000000
A664001,2013-11-24 11:25:00,11/24/2013 11:25,Austin (TX),Owner Surrender,Normal,Neutered Male,6 months,*Albert,2013-11-23 13:25:00,11/23/2013 13:25,4/27/2013,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Blue Tabby,-1 days +02:00:00.000000000
A664051,2014-02-06 16:13:00,2/6/2014 16:13,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,*Harmony,2013-11-11 14:27:00,11/11/2013 14:27,9/28/2012,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,White,-88 days +22:14:00.000000000
A664093,2013-10-13 13:53:00,10/13/2013 13:53,Outside Jurisdiction,Owner Surrender,Normal,Spayed Female,5 years,Katrina,2013-10-10 12:31:00,10/10/2013 12:31,9/29/2008,Adoption,,Dog,Spayed Female,5 years,Rottweiler Mix,Black/Tan,-4 days +22:38:00.000000000
A664104,2017-02-05 09:57:00,2/5/2017 9:57,Austin (TX),Owner Surrender,Normal,Neutered Male,5 years,Charlie,2013-11-23 13:51:00,11/23/2013 13:51,9/29/2011,Adoption,,Dog,Neutered Male,2 years,Boxer Mix,Red/Black,-1170 days +03:54:00.000000000
A664151,2016-06-09 16:10:00,6/9/2016 16:10,7201 Levander Loop Blvd in Austin (TX),Stray,Normal,Neutered Male,7 years,Mantequilla,2013-10-01 18:19:00,10/1/2013 18:19,9/30/2008,Return to Owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair,Red,-982 days +02:09:00.000000000
A664151,2016-10-15 13:32:00,10/15/2016 13:32,Oltorf And Douglas in Austin (TX),Stray,Normal,Neutered Male,8 years,Mantequilla,2016-06-09 18:11:00,6/9/2016 18:11,9/30/2008,Return to Owner,,Dog,Neutered Male,7 years,Chihuahua Shorthair,Red,-128 days +04:39:00.000000000
A664185,2013-10-22 18:42:00,10/22/2013 18:42,Austin (TX),Owner Surrender,Normal,Neutered Male,2 months,Davy,2013-10-20 16:09:00,10/20/2013 16:09,8/12/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,-3 days +21:27:00.000000000
A664185,2019-05-08 13:19:00,5/8/2019 13:19,Manor (TX),Public Assist,Normal,Neutered Male,5 years,Davy,2013-11-09 15:32:00,11/9/2013 15:32,8/12/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,-2006 days +02:13:00.000000000
A664186,2013-10-22 18:42:00,10/22/2013 18:42,Austin (TX),Owner Surrender,Normal,Spayed Female,2 months,*Dolly,2013-10-20 16:18:00,10/20/2013 16:18,8/12/2013,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,-3 days +21:36:00.000000000
A664188,2013-10-13 10:43:00,10/13/2013 10:43,6914 Blessings Ave in Austin (TX),Stray,Normal,Neutered Male,1 year,Blue,2013-10-03 12:58:00,10/3/2013 12:58,3/30/2012,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,-10 days +02:15:00.000000000
A664218,2015-07-07 17:48:00,7/7/2015 17:48,2765 E 7Th St in Austin (TX),Stray,Normal,Neutered Male,2 years,,2013-10-01 16:11:00,10/1/2013 16:11,3/30/2013,Transfer,SCRP,Cat,Neutered Male,6 months,Domestic Medium Hair Mix,Blue Tabby/White,-645 days +22:23:00.000000000
A664228,2014-01-04 11:32:00,1/4/2014 11:32,Austin (TX),Owner Surrender,Normal,Spayed Female,1 year,Kaya,2013-12-08 14:19:00,12/8/2013 14:19,11/30/2012,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White,-27 days +02:47:00.000000000
A664228,2014-06-06 13:24:00,6/6/2014 13:24,2100 Barton Springs Road in Austin (TX),Stray,Normal,Spayed Female,1 year,Kaya,2014-04-16 18:49:00,4/16/2014 18:49,11/30/2012,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White,-51 days +05:25:00.000000000
A664228,2014-08-10 12:05:00,8/10/2014 12:05,Barton Springs And South Lamar in Austin (TX),Stray,Normal,Spayed Female,1 year,Kaya,2014-06-06 18:40:00,6/6/2014 18:40,11/30/2012,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White,-65 days +06:35:00.000000000
A664228,2014-11-25 15:30:00,11/25/2014 15:30,Johnny Morris Rd & Fm 969 in Austin (TX),Stray,Normal,Spayed Female,1 year,Kaya,2014-08-10 18:41:00,8/10/2014 18:41,11/30/2012,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White,-107 days +03:11:00.000000000
A665649,2013-10-21 11:12:00,10/21/2013 11:12,12507 Esplanade in Austin (TX),Stray,Normal,Unknown,1 year,,2013-10-21 10:44:00,10/21/2013 10:44,10/21/2012,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black,-1 days +23:32:00.000000000
A672396,2016-09-26 13:29:00,9/26/2016 13:29,Austin (TX),Owner Surrender,Normal,Spayed Female,3 years,Layla,2016-09-26 00:00:00,9/26/2016 0:00,1/9/2013,Transfer,Partner,Dog,Spayed Female,3 years,Basset Hound Mix,White/Red,-1 days +10:31:00.000000000
A672696,2014-02-15 12:30:00,2/15/2014 12:30,2 Brett Cove in Rollingwood (TX),Stray,Normal,Neutered Male,12 years,Oreo,2014-02-15 11:12:00,2/15/2014 11:12,2/15/2002,Return to Owner,,Dog,Neutered Male,12 years,Rat Terrier Mix,Tricolor,-1 days +22:42:00.000000000
A673335,2014-02-22 13:03:00,2/22/2014 13:03,4415 Secluded Hollow in Austin (TX),Wildlife,Sick,Unknown,2 years,,2014-02-22 00:00:00,2/22/2014 0:00,2/22/2012,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon,Black/Gray,-1 days +10:57:00.000000000
A674638,2014-03-16 11:46:00,3/16/2014 11:46,Rollingwood & Bee Cave Rd in Austin (TX),Stray,Normal,Neutered Male,7 years,Sam,2014-03-16 10:48:00,3/16/2014 10:48,3/16/2007,Return to Owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Chocolate,-1 days +23:02:00.000000000
A675125,2014-03-23 16:46:00,3/23/2014 16:46,13702 Fm 969 in Austin (TX),Stray,Injured,Intact Female,1 year,,2014-03-23 16:18:00,3/23/2014 16:18,3/23/2013,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,-1 days +23:32:00.000000000
A675480,2014-03-28 11:13:00,3/28/2014 11:13,6106 Wheless Cv in Austin (TX),Stray,Sick,Intact Male,10 years,Boots,2014-03-28 09:28:00,3/28/2014 9:28,3/28/2004,Euthanasia,Suffering,Cat,Intact Male,10 years,Domestic Shorthair Mix,Black/White,-1 days +22:15:00.000000000
A676345,2014-08-05 11:35:00,8/5/2014 11:35,Austin (TX),Owner Surrender,Normal,Neutered Male,3 years,Parker,2014-08-05 08:12:00,8/5/2014 8:12,4/8/2011,Euthanasia,Aggressive,Dog,Neutered Male,3 years,Norfolk Terrier/Yorkshire Terrier,Tan/Black,-1 days +20:37:00.000000000
A678461,2014-05-09 10:33:00,5/9/2014 10:33,7615 Northview Ln in Austin (TX),Stray,Normal,Intact Female,2 years,,2014-05-09 08:00:00,5/9/2014 8:00,5/9/2012,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,-1 days +21:27:00.000000000
A678823,2014-05-13 11:47:00,5/13/2014 11:47,Austin (TX),Stray,Normal,Intact Female,2 years,,2014-05-13 08:00:00,5/13/2014 8:00,5/13/2012,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby,-1 days +20:13:00.000000000
A678824,2014-05-13 11:56:00,5/13/2014 11:56,Austin (TX),Stray,Normal,Intact Male,2 years,,2014-05-13 08:00:00,5/13/2014 8:00,5/13/2012,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,-1 days +20:04:00.000000000
A679066,2014-05-16 10:58:00,5/16/2014 10:58,Austin (TX),Wildlife,Normal,Unknown,4 weeks,,2014-05-16 00:00:00,5/16/2014 0:00,4/16/2014,,,Other,Unknown,4 weeks,Rabbit Sh,Brown,-1 days +13:02:00.000000000
A679180,2014-05-17 11:28:00,5/17/2014 11:28,517 S. Pleasant Valley Rd in Austin (TX),Stray,Normal,Intact Female,8 months,,2014-05-17 08:00:00,5/17/2014 8:00,8/17/2013,Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Torbie,-1 days +20:32:00.000000000
A679181,2014-05-17 11:30:00,5/17/2014 11:30,5509 Tallow Tree Dr in Austin (TX),Stray,Normal,Intact Female,4 years,,2014-05-17 08:00:00,5/17/2014 8:00,5/17/2010,Transfer,SCRP,Cat,Intact Female,4 years,Domestic Shorthair Mix,Black,-1 days +20:30:00.000000000
A679182,2014-05-17 11:30:00,5/17/2014 11:30,5509 Tallow Tree Dr in Austin (TX),Stray,Normal,Intact Male,2 years,,2014-05-17 08:00:00,5/17/2014 8:00,5/17/2012,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,-1 days +20:30:00.000000000
A679215,2014-05-17 14:50:00,5/17/2014 14:50,8212 Sam Rayburn in Austin (TX),Stray,Normal,Intact Female,3 months,,2014-05-17 08:00:00,5/17/2014 8:00,1/17/2014,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,-1 days +17:10:00.000000000
A679217,2014-05-17 14:50:00,5/17/2014 14:50,8212 Sam Rayburn in Austin (TX),Stray,Normal,Intact Female,3 months,,2014-05-17 08:00:00,5/17/2014 8:00,1/17/2014,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby/White,-1 days +17:10:00.000000000
A679222,2014-05-17 15:10:00,5/17/2014 15:10,2765 Lyons in Austin (TX),Stray,Normal,Intact Female,4 years,,2014-05-17 08:00:00,5/17/2014 8:00,5/17/2010,Transfer,SCRP,Cat,Intact Female,4 years,Domestic Shorthair Mix,Cream Tabby,-1 days +16:50:00.000000000
A679230,2017-02-20 10:35:00,2/20/2017 10:35,Austin (TX),Owner Surrender,Normal,Neutered Male,2 years,Cooper,2017-02-20 00:00:00,2/20/2017 0:00,3/6/2014,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,White/Yellow,-1 days +13:25:00.000000000
A679305,2014-05-19 11:33:00,5/19/2014 11:33,4708 Rue Lefleur in Austin (TX),Stray,Normal,Intact Female,3 years,,2014-05-19 08:00:00,5/19/2014 8:00,5/19/2011,Transfer,SCRP,Cat,Intact Female,3 years,Siamese Mix,Lynx Point,-1 days +20:27:00.000000000
A679357,2014-05-19 17:43:00,5/19/2014 17:43,12507 Esplanade in Austin (TX),Stray,Normal,Unknown,2 years,,2014-05-19 08:00:00,5/19/2014 8:00,5/19/2012,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black/White,-1 days +14:17:00.000000000
A679361,2014-05-19 18:41:00,5/19/2014 18:41,8710 Southwick Dr in Austin (TX),Stray,Normal,Intact Male,3 years,,2014-05-19 08:00:00,5/19/2014 8:00,5/19/2011,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black,-1 days +13:19:00.000000000
A679408,2014-05-20 17:03:00,5/20/2014 17:03,N Lamar Blvd & N Loop Blvd in Austin (TX),Stray,Normal,Intact Female,5 months,,2014-05-20 10:55:00,5/20/2014 10:55,12/5/2013,Transfer,Partner,Dog,Intact Female,5 months,Chihuahua Shorthair Mix,Black/White,-1 days +17:52:00.000000000
A679940,2014-05-28 12:21:00,5/28/2014 12:21,1500 Faro Dr in Austin (TX),Stray,Normal,Intact Female,1 year,,2014-05-28 08:00:00,5/28/2014 8:00,5/28/2013,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,-1 days +19:39:00.000000000
A679980,2014-05-28 15:42:00,5/28/2014 15:42,Wandering Way & Winterwood Cove in Austin (TX),Stray,Normal,Neutered Male,1 year,,2014-05-28 08:00:00,5/28/2014 8:00,5/28/2013,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,-1 days +16:18:00.000000000
A680032,2014-05-29 10:35:00,5/29/2014 10:35,2212 Greenwood Ave in Austin (TX),Stray,Normal,Intact Male,2 years,,2014-05-29 08:00:00,5/29/2014 8:00,5/29/2012,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,-1 days +21:25:00.000000000
A680057,2014-05-29 13:21:00,5/29/2014 13:21,15906 Windermere Dr in Pflugerville (TX),Stray,Normal,Intact Male,3 months,,2014-05-29 08:00:00,5/29/2014 8:00,1/29/2014,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,-1 days +18:39:00.000000000
A680058,2014-05-29 13:21:00,5/29/2014 13:21,15906 Windermere Dr in Pflugerville (TX),Stray,Normal,Intact Female,3 months,,2014-05-29 08:00:00,5/29/2014 8:00,1/29/2014,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby,-1 days +18:39:00.000000000
A680106,2014-05-29 18:34:00,5/29/2014 18:34,4800 Quicksilver Blvd in Austin (TX),Stray,Normal,Unknown,1 year,,2014-05-29 08:00:00,5/29/2014 8:00,5/29/2013,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby,-1 days +13:26:00.000000000
A680138,2014-05-30 11:41:00,5/30/2014 11:41,8502 Elroy in Del Valle (TX),Stray,Normal,Intact Female,4 years,,2014-05-30 08:00:00,5/30/2014 8:00,5/30/2010,Transfer,SCRP,Cat,Intact Female,4 years,Domestic Shorthair Mix,White/Black,-1 days +20:19:00.000000000
A680141,2014-05-30 11:59:00,5/30/2014 11:59,8503 El Rey Blvd in Austin (TX),Stray,Normal,Intact Male,1 year,,2014-05-30 08:00:00,5/30/2014 8:00,5/30/2013,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,-1 days +20:01:00.000000000
A680144,2014-05-30 12:01:00,5/30/2014 12:01,1708 Hydro Dr in Austin (TX),Stray,Normal,Spayed Female,4 years,,2014-05-30 08:00:00,5/30/2014 8:00,5/30/2010,Transfer,SCRP,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Tortie,-1 days +19:59:00.000000000
A680319,2014-06-01 14:51:00,6/1/2014 14:51,10606 Jean St in Austin (TX),Stray,Normal,Intact Male,2 years,,2014-06-01 08:00:00,6/1/2014 8:00,6/1/2012,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,-1 days +17:09:00.000000000
A680504,2014-06-03 16:11:00,6/3/2014 16:11,4536 Little Hill Cir in Austin (TX),Stray,Normal,Intact Female,2 years,,2014-06-03 08:00:00,6/3/2014 8:00,6/3/2012,Transfer,SCRP,Cat,Intact Female,2 years,Siamese Mix,Lilac Point,-1 days +15:49:00.000000000
A680744,2014-06-07 11:45:00,6/7/2014 11:45,Nickerson St And Gibson St E in Austin (TX),Stray,Normal,Intact Female,7 months,,2014-06-07 08:00:00,6/7/2014 8:00,10/7/2013,Transfer,SCRP,Cat,Intact Female,7 months,Domestic Shorthair Mix,Calico,-1 days +20:15:00.000000000
A681049,2019-04-26 13:26:00,4/26/2019 13:26,Austin (TX),Owner Surrender,Normal,Intact Female,7 years,Patty,2019-01-12 15:17:00,1/12/2019 15:17,12/11/2011,Transfer,Partner,Dog,Intact Female,7 years,German Shepherd Mix,Brown/Black,-104 days +01:51:00.000000000
A681851,2014-06-26 11:25:00,6/26/2014 11:25,5300 Overbrook in Austin (TX),Owner Surrender,Sick,Spayed Female,1 year,Guera,2014-06-26 08:59:00,6/26/2014 8:59,6/21/2013,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,-1 days +21:34:00.000000000
A681854,2014-06-26 11:25:00,6/26/2014 11:25,5300 Overbrook in Austin (TX),Owner Surrender,Sick,Neutered Male,1 year,Chingon,2014-06-26 08:59:00,6/26/2014 8:59,12/21/2012,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black/Tan,-1 days +21:34:00.000000000
